subject,age,gender,sound,level,sequence,time,runs
2,23,M,b,off,ba,49.488,10
2,23,M,b,on,ba,59.454,8
2,23,M,a,off,ba,50.715,5
2,23,M,a,on,ba,50.675,5
3,28,M,b,off,ba,58.172,7
3,28,M,b,on,ba,64.553,5
3,28,M,a,off,ba,58.509,5
3,28,M,a,on,ba,61.216,5
4,29,M,b,off,ba,58.071,5
4,29,M,b,on,ba,66.573,7
4,29,M,a,off,ba,53.542,6
4,29,M,a,on,ba,54.867,5
5,26,F,a,off,ab,51.268,7
5,26,F,a,on,ab,59.852,8
5,26,F,b,off,ab,49.916,7
5,26,F,b,on,ab,58.429,5
6,25,M,a,off,ab,67.773,5
6,25,M,a,on,ab,62.089,5
6,25,M,b,off,ab,60.224,6
6,25,M,b,on,ab,57.476,6
7,32,F,a,off,ab,63.187,5
7,32,F,a,on,ab,68.235,6
7,32,F,b,off,ab,57.210,5
7,32,F,b,on,ab,64.229,5
9,27,F,a,off,ab,51.192,5
9,27,F,a,on,ab,55.386,6
9,27,F,b,off,ab,47.896,6
9,27,F,b,on,ab,49.292,6
10,27,F,b,off,ba,68.729,5
10,27,F,b,on,ba,76.147,6
10,27,F,a,off,ba,72.120,5
10,27,F,a,on,ba,75.036,5
11,24,F,b,off,ba,89.389,8
11,24,F,b,on,ba,86.556,7
11,24,F,a,off,ba,74.671,5
11,24,F,a,on,ba,88.366,5
12,32,F,a,off,ab,70.516,6
12,32,F,a,on,ab,80.333,5
12,32,F,b,off,ab,68.428,5
12,32,F,b,on,ab,66.226,5
13,27,F,b,off,ba,65.273,5
13,27,F,b,on,ba,73.229,6
13,27,F,a,off,ba,69.086,5
13,27,F,a,on,ba,75.426,6
14,29,M,b,off,ba,69.021,5
14,29,M,b,on,ba,84.114,7
14,29,M,a,off,ba,82.085,8
14,29,M,a,on,ba,97.507,6
15,36,M,a,off,ab,55.610,5
15,36,M,a,on,ab,56.596,5
15,36,M,b,off,ab,49.330,6
15,36,M,b,on,ab,53.633,6
16,28,M,a,off,ab,79.877,5
16,28,M,a,on,ab,104.887,5
16,28,M,b,off,ab,74.392,5
16,28,M,b,on,ab,96.581,5
17,23,M,b,off,ba,70.779,6
17,23,M,b,on,ba,68.325,6
17,23,M,a,off,ba,60.269,7
17,23,M,a,on,ba,63.164,9
18,25,F,b,off,ba,66.286,8
18,25,F,b,on,ba,71.049,5
18,25,F,a,off,ba,61.427,5
18,25,F,a,on,ba,72.099,5
19,32,M,a,off,ab,59.612,6
19,32,M,a,on,ab,63.028,5
19,32,M,b,off,ab,56.469,5
19,32,M,b,on,ab,58.630,6
20,27,M,b,off,ba,53.924,5
20,27,M,b,on,ba,55.629,6
20,27,M,a,off,ba,44.888,5
20,27,M,a,on,ba,46.936,5
21,25,F,a,off,ab,56.316,7
21,25,F,a,on,ab,54.986,6
21,25,F,b,off,ab,55.736,7
21,25,F,b,on,ab,55.335,6
22,37,M,a,off,ab,64.227,5
22,37,M,a,on,ab,73.945,5
22,37,M,b,off,ab,61.829,5
22,37,M,b,on,ab,65.021,5
